golden_id,customer_message,brand_reply,cluster,gold_intent,gold_escalate,gold_escalate_reason,labeler_notes
g0000,"okay basically i deleted vsco so i could delete all the pics and i re downloaded it so it takes up less space, AND NOW IT REFUSES TO GO BACK INTO THE FOLDER @115858 fix it",@140199 Let's take a closer look. Could you Direct Message us so we can look into this with you? https://t.co/GDrqU22YpT,3,software_bug_glitch,no,"The user deleted and re-downloaded a third-party application (VSCO) to save storage, but is now experiencing a home screen/UI glitch where the app icon refuses to be moved back into a folder.",
g0001,"@AppleSupport 5 Times a day my phone says “no sim” &amp; I have to restart it to make it go away, do I need a new phone https://t.co/f48jvdz33b",@141071 Hello. We are here to help. How long has this been occurring? Have their been any recent changes to your device? What is your iOS version?,0,device_hardware_connectivity,no,"The user is experiencing recurring ""No SIM"" cellular connectivity errors that temporarily clear only after restarting the device, asking if a physical replacement is needed.",
g0002,@115858 why does my iPhone 7 ever since it updated constantly freeze and have issues with all my apps #intentionallyslowingmyiphone,@132839 We can help out with your iPhone 7 performance on iOS 11. Do you know what version of the iOS is on the device?,1,system_update_issue,no,The user is reporting constant freezing and performance issues across multiple apps on an iPhone 7 specifically triggered after performing a software update.,
g0003,@AppleSupport I’m having trouble accessing your website to purchase something. Any chance you know when it’ll be available again?,@143285 We're happy to help. What happens when you try to make a purchase? Are you getting an error message?,6,other,no,"The user is asking about server outage status and website availability when attempting to access the online Store to make a purchase, which falls outside standard technical support categories.",
g0004,@AppleSupport I️ have the latest software.,@127769 The latest iOS version that's out is iOS 11.1. We'll be more than happy to assist you further with this issue. Please DM us. https://t.co/GDrqU22YpT,5,system_update_issue,no,User confirming current OS software update status,
g0005,"@AppleSupport Just deleted and reinstalled the app, but it doesn’t make any difference",@119048 You did a great job going through those steps. DM us here to contiue further:,4,software_bug_glitch,no,"The user is reporting that troubleshooting steps (deleting and reinstalling an app) failed to resolve an ongoing application crash, freeze, or behavior issue.",
g0006,@AppleSupport iOS 11.1. To open twitter i had to restart the phone again the screen just froze when j clicked☹️,"@124865 We totally understand. Please join us in DM, we'd like to start troubleshooting with you. https://t.co/GDrqU22YpT",2,software_bug_glitch,no,"The user is reporting UI freezes when tapping application icons on iOS 11.1, requiring a full device restart to open apps like Twitter.",
g0007,@AppleSupport Thanks will do 🙏,@125141 You're welcome.,6,other,no,"The user is expressing politeness and sending a standard closing/acknowledgement message (""Thanks will do"") with no technical issue or actionable request present.",
g0008,"@AppleSupport IT Just keeps asking me for my password multiple times, to log in to my account and just keeps loading for a long time without downloading","@135599 Thanks. Since this started have you restarted your iPhone at all? If not, let's do that now. Does the issue continue?",6,apple_id_account,no,The user is experiencing repeated credential prompts for their account password alongside stuck authentication loading during media/app downloads.,
g0009,Help @AppleSupport. My iPhone 6  will connect to unsecured wifi networks but not those requiring a password. “Invalid password” every time. (IOS 11.03).,@127754 We'll be happy to assist as best we can. We did release iOS 11.1. You might try updating using iTunes and see if that helps.,1,device_hardware_connectivity,no,"The user is unable to connect to password-protected Wi-Fi networks due to a false ""Invalid password"" authentication error on iOS 11.0.3, despite public unsecured Wi-Fi working fine.",
g0010,@AppleSupport actually just checked again I am at 11.1.2.,@130561 Thanks for confirming that. Do you remember which version you were using when you first noticed that the performance was slower than usual? Let's also get your country in case we need to check out additional options. Let us know with a DM. https://t.co/GDrqU22YpT,2,system_update_issue,no,The user is providing an explicit follow-up confirming their installed iOS software version (11.1.2) as part of an ongoing troubleshooting conversation regarding system updates and post-update performance.,
g0011,@AppleSupport It keeps saying this https://t.co/GXtmrTDJCI,@137151 Thanks. Let's work through the steps here to see if we can get the update installed on your device: https://t.co/duYWwlmIVH,7,system_update_issue,no,Software update installation failure prompt displaying on-screen error during update download,
g0012,@115858 This is outrageous! I live in China and I bought a Macbook this year IN China and they won't give me support because I don't speak Chinese. #rude #MacBookPro #alliwantissomesupport #idontspeakchinese https://t.co/Un1hltn9yX,@134129 Hey there! We can provide you support here. Let us know what's going on and we can take a look at helping out today.,6,complaint_no_specific_ask,no,Venting customer service dissatisfaction regarding regional language support limitations without specific technical query,
g0013,Beyoncé’s posts make my phone freeze. Fix it @115858,"@143067 We'd like to help, but we'll need more details to better understand what's happening. Please provide us more details in DM here: https://t.co/GDrqU22YpT",3,software_bug_glitch,no,Specific media rendering app glitch causing device freezing during social media feed scrolling,
g0014,@AppleSupport ???? https://t.co/4lqEvlUDI4,@130038 Thanks for the photo. Let's get you pointed in the right direction. Our iTunes Team can help you further here: https://t.co/SDIe7UiyJN,7,app_store_media,no,"The user is sharing an image (likely showing an iTunes/App Store billing, media purchase, or store account balance error) requiring assistance from the iTunes support team.",
g0015,@AppleSupport It’s still the same,@124660 Have you tried resetting the Keyboard dictionary by going to Settings &gt; General &gt; Reset &gt; Reset Keyboard Dictionary yet?,7,software_bug_glitch,no,Persistent keyboard auto-correct or dictionary input glitch continuing after initial troubleshooting,
g0016,@AppleSupport The iOS version is 11.1.2. I restored the device last week and the its uptime since last shutdown is less than 24 hours,@142511 Thanks. Did you install any new software or updates prior to experiencing this issue?,2,system_update_issue,no,System diagnostic status reporting post-iOS software update and full device restore,
g0017,"@AppleSupport My Apple Mail just changed its look to this. Did I do this accidentally and how do I change it back, or did this happen to everybody? I prefer the old look (no summaries) and want it back. https://t.co/GAkS3EyBJf",@136098 No worries. We can point you in the right direction. Which device will we be working with?,6,software_bug_glitch,no,Unexpected Apple Mail application UI view change and layout preview configuration,
g0018,@115858 @AppleSupport SOMEBODY IN DAMN CUPERTINO NEEDS TO FIX THIS DAMN “I️” GLITCH! SOME DAMN BODY! FED UP!!!!!! 😡😑 https://t.co/QlUMUVzxcG,@128501 We're here to help. Let's take this to DM so we can better assist you. https://t.co/GDrqU22YpT,3,software_bug_glitch,no,"The user is expressing extreme frustration over the well-known iOS auto-correct text bug where typing the letter ""I"" renders as a capital ""A"" with a unicode symbol symbol glitch.",
g0019,@AppleSupport Hey guys just upgraded to IOS 11.0.3 Battery drain horrendous on my 6s. NEVER seen it so bad!!! Can you please improve this..😔,@125148 Hi Alice. We've released an update to 11.1. Please navigate to Settings &gt; General &gt; Software Update to install the update.,2,battery_performance,no,,The user is reporting severe battery drain on their iPhone 6s following an update to iOS 11.0.3 and requesting performance optimizations.
g0020,@AppleSupport Baje la App de @701 la cual es gratuita y me llego un cargo de $18.11 Pesos ¿cuál es el motivo?,@117964 We offer support via Twitter in English. Get help in Spanish here: https://t.co/IBIY3vMgPj or join https://t.co/OczyRx7IOs,4,app_store_media,no,The user is reporting an unexpected charge ($18.11 Pesos) on their account after downloading a free app from the App Store and asking for clarification on the billing reason.,
g0021,@115858 We Have A Problem What Are These Question Mark Boxes For What’s Going On 👀👀,"@128486 We'd be happy to look into this issue with you. Send us a DM, and we'll continue there. https://t.co/GDrqU22YpT",0,software_bug_glitch,no,Question mark symbol box rendering glitch when typing text characters on iOS,
g0022,@AppleSupport Help!! I need to update the payment method for my iPhone X pre-order. It won’t let me do it online,@122945 We're happy to help you with that. DM us the country you are located in so we can better assist you:,5,app_store_media,no,Account order management and payment method update failure for online Store pre-orders,
